CommonName,Long_1,Fire_K,Seed_2,Snow_K,WL__6,Poll_Abiotic,Disp_Wind,Disp_Invert_ext_,Glycophyte
sp0212,0,0,0,0,1,0,0,0,0
sp0213,0,0,1,1,1,0,0,1,0
sp0214,0,0,0,0,0,0,1,0,0
sp0215,0,1,0,0,0,0,0,1,0
sp0216,0,0,0,0,1,0,0,0,0
sp0217,0,0,1,0,1,0,0,1,0
sp0218,0,0,0,0,0,0,0,0,0
sp0219,0,0,0,0,1,1,0,1,0
sp0220,1,1,0,1,0,1,0,0,0
sp0221,0,0,1,1,0,0,1,0,0
sp0222,0,0,1,0,0,0,1,0,1
sp0223,0,0,1,1,0,0,1,0,0
sp0224,0,0,1,1,0,0,1,0,0
sp0225,0,1,0,1,0,0,0,0,0
sp0226,0,0,1,0,0,0,1,0,0
sp0227,1,1,0,1,0,1,0,0,0
sp0228,1,1,0,1,0,0,0,1,0
sp0229,0,0,0,1,0,0,0,0,0
sp0230,1,1,0,1,0,1,0,1,1
sp0231,0,0,0,1,0,0,0,0,0
sp0232,0,0,1,0,0,0,0,1,1
sp0233,0,0,0,0,0,0,0,1,0
sp0234,0,0,1,0,0,0,1,0,0
sp0235,0,0,1,0,0,0,1,0,1
sp0236,0,0,0,0,0,0,0,1,0
sp0237,0,0,1,0,0,0,1,0,0
sp0238,0,0,1,1,0,0,1,0,0
sp0239,1,1,0,1,0,1,0,0,0
sp0240,0,0,1,1,0,0,0,0,0
sp0241,0,0,0,0,0,0,0,0,0
sp0242,0,1,0,1,0,0,1,0,0
sp0243,1,1,1,1,0,0,1,0,0
sp0244,1,1,1,1,0,1,1,0,0
sp0245,0,0,1,1,0,0,1,0,0
sp0246,1,0,1,1,0,0,1,0,1
sp0247,0,0,1,0,0,0,0,0,1
sp0248,1,1,0,1,0,0,0,1,1
sp0249,1,1,0,1,0,0,0,0,0
sp0250,1,1,0,1,0,0,0,1,0
sp0251,0,0,1,0,0,0,0,0,1
sp0252,0,1,0,0,0,0,1,0,0
sp0253,0,1,0,1,0,0,1,0,0
sp0254,1,1,1,1,0,0,0,1,0
sp0255,1,1,1,0,0,0,0,1,0
sp0256,0,0,0,1,0,0,1,0,0
sp0257,0,0,1,1,0,0,1,0,0
sp0258,0,1,0,1,0,0,0,0,0
